reaction_id,reaction_index_CUSTOM,reaction_type,inputs_metal_and_ligand_SMILES,inputs_aryl_halide_SMILES,inputs_amine_SMILES,inputs_solvent_SMILES,inputs_base_SMILES,temperature_Celsius,yield_percent
ord-56b1f4bfeebc4b8ab990b9804e798aa7,0,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8;C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=C(C=C(C=C3)F)F)C(=O)OCC)Br,CC(C)N1CCNCC1,,C(=O)([O-])[O-].[Cs+].[Cs+],110.0,65.39
ord-1169cbe9fa064a879ac34b2e524a4e69,1,1.3.4 [N-arylation with Ar-X] Iodo Buchwald-Hartwig amination,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],C1=CC=C(C=C1)I,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC,COC1=CC=CC=C1,C(=O)([O-])[O-].[Cs+].[Cs+],100.0,57.47
ord-49d889221a9546a98e62a35726966f57,965,1.3.4 [N-arylation with Ar-X] Iodo Buchwald-Hartwig amination,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;CC(=O)O.CC(=O)O.[Pd],C1=CC(=C(C=C1C(F)(F)F)I)F,COC1=NC(=NC=C1Br)N,CC1=CC=CC=C1,C(=O)([O-])[O-].[Cs+].[Cs+],100.0,80.85
ord-dd547470ed614a60b02e180b7f0d2acd,966,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C)C;CC(=O)O.CC(=O)O.[Pd],C1=CC=NC(=C1)Br,C1CC(C1)N2CCN(CC2)C(=O)C3CC34CCNCC4,CC1=CC=CC=C1,CC(C)(C)[O-].[Na+],160.0,26.61
ord-7a7d88bb15974f808c2ac9e73fb46a04,953,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8;CC(=O)O.CC(=O)O.[Pd],CC1=C(C=C(C=C1)Br)[N+](=O)[O-],C1CNCCN1,CC1=CC=CC=C1,C(=O)([O-])[O-].[Cs+].[Cs+],110.0,39.25
ord-160ce7a57c0f456d8f6b62d0a7b77bc4,954,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8;CC(=O)O.CC(=O)O.[Pd],CC1=C(C=C(C=C1)Br)[N+](=O)[O-],C1CNCCN1,CC1=CC=CC=C1,C(=O)([O-])[O-].[Cs+].[Cs+],110.0,54.35
ord-b55c5711f803482494d33a05fbba3389,955,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],C1CC(C1)NC2=CC(=NC3=C(C=NN23)C#N)Cl,CC1=CC(=C(C=C1NC(=O)C)N)F,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],150.0,5.51
ord-4224929cdb884295951cf91f4fb5b988,956,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8;C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],C1=C(N=CC(=N1)Cl)C(F)(F)F,CC(C)(C)OC(=O)N1CCNCC1,CC1=CC=CC=C1,CC(C)(C)[O-].[Na+],105.0,21.41
ord-70ea34f4ab314aa093c5c77488bf98e8,957,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8;C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],C1=CC=C2C(=C1)C=CC(=N2)Cl,CC(C)(C)OC(=O)N1CCNCC1,CC1=CC=CC=C1,CC(C)(C)[O-].[Na+],100.0,46.36
ord-96460abed19147c3abf8fef3ac794b48,958,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,CC(C)C1=CC(=C(C(=C1)C(C)C)C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C)C(C)C;C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],C1CC1NC2=CC(=NC3=C(C=NN23)C#N)Cl,CC1=CN=C(C=C1NC(=O)C)N,CN(C)C=O,C(=O)([O-])[O-].[Cs+].[Cs+],90.0,10.6
ord-9afd80193ebe4d909351826d5e746d73,959,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C5=C(C=CC6=CC=CC=C65)P(C7=CC=CC=C7)C8=CC=CC=C8;CC(=O)O.CC(=O)O.[Pd],C1=CC(=CC(=C1)Br)C(F)(F)F,C1CNCCC1O,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],100.0,43.09
ord-13992005c22d4673aa802b5e140076e8,3,1.3.4 [N-arylation with Ar-X] Iodo Buchwald-Hartwig amination,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],C1=CC=C(C=C1)I,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC,COC1=CC=CC=C1,C(=O)([O-])[O-].[Cs+].[Cs+],100.0,65.43
ord-a36b48917c9942d1a34637511773ee1f,4,1.3.4 [N-arylation with Ar-X] Iodo Buchwald-Hartwig amination,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],C1=CC=C(C=C1)I,CN1C=NC2=C1C=C(C(=C2F)N)C(=O)OC,COC1=CC=CC=C1,C(=O)([O-])[O-].[Cs+].[Cs+],100.0,75.07
ord-5fc624fd97b7430eafbe8dcc049d170b,7,0.0 [Unassigned] Unrecognized,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;CC(=O)O.CC(=O)O.[Pd],CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C,C1=CC(=CC=C1N)S(=O)(=O)N,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],150.0,46.32
ord-c34e3f2a76e4462999414a169b276944,8,0.0 [Unassigned] Unrecognized,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;CC(=O)O.CC(=O)O.[Pd],CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C,C1=CC(=CC=C1N)S(=O)(=O)N,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],130.0,76.03
ord-5853dba403864121802609ae67a6fbe4,9,0.0 [Unassigned] Unrecognized,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;CC(=O)O.CC(=O)O.[Pd],CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C,C1=CC(=CC=C1N)S(=O)(=O)N,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],130.0,40.86
ord-0c597cbe4940491092243bda6c97b98c,10,0.0 [Unassigned] Unrecognized,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;CC(=O)O.CC(=O)O.[Pd],CC1=NC(=C(C=C1)OC2=CC(=NC=C2)Cl)C,C1=CC(=CC=C1N)S(=O)(=O)N,CC(=O)N(C)C,C(=O)([O-])[O-].[Cs+].[Cs+],130.0,62.38
ord-b62d19842af048f4873fe9a01ff50f3b,28,1.3.4 [N-arylation with Ar-X] Iodo Buchwald-Hartwig amination,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;CC(=O)O.CC(=O)O.[Pd],C1=C(C(=CN=C1Cl)Cl)I,CN1CCC2=C(C1=O)C(=CC=C2)N,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],100.0,49.43
ord-d1c742201cbe4cf0aa1fbc6e2537aa34,29,1.3.4 [N-arylation with Ar-X] Iodo Buchwald-Hartwig amination,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;CC(=O)O.CC(=O)O.[Pd],C1=C(C(=CN=C1Cl)Cl)I,CN1CCC2=C(C1=O)C(=CC=C2)N,C1COCCO1,C(=O)([O-])[O-].[Cs+].[Cs+],100.0,59.55
ord-b3c4a680709749268aeba07b670223ef,11,1.3.1 [N-arylation with Ar-X] Bromo Buchwald-Hartwig amination,CC1(C2=C(C(=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7)C;CC(=O)O.CC(=O)O.[Pd],C1=C(C=NC=C1Br)Br,CC(=O)N1CCNCC1,,C(=O)([O-])[O-].[Cs+].[Cs+],140.0,31.78
ord-fa122fe6774f45c5b7a107c1460052d3,12,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4;CC(=O)O.CC(=O)O.[Pd],CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CC=CC=C3,C1=CC(=CC=C1N)N2C=CN=C2,COCCOC,C(=O)([O-])[O-].[Cs+].[Cs+],100.0,41.47
ord-8ce809cf74f44b02a581dcd94f0c1ae0,13,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4;CC(=O)O.CC(=O)O.[Pd],CC(=O)N1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CN=CC=C3,CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC,COCCOC,C(=O)([O-])[O-].[Cs+].[Cs+],100.0,35.13
ord-373fd601db1247b0b18c34bca387c3a4,14,1.3.2 [N-arylation with Ar-X] Chloro Buchwald-Hartwig amination,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4;CC(=O)O.CC(=O)O.[Pd],CN1CC(OC2=C(C1)C=CC(=N2)Cl)C3=CN=CC=C3,CC1=CN(C=N1)C2=C(C=C(C=C2)N)OC,COCCOC,C(=O)([O-])[O-].[Cs+].[Cs+],100.0,27.8
